126794236516480 -
136679711954688 lock
136679711954640 log_prior
136679711954592 send
136679711961552 recv
126794238328368 log_likelihood
126794255490784 send
126794235084624 process_conf
126794235084384 preprocess_data
126794235138352 log_likelihood2
> 136679711954640 2912060 136686256525440 1780985087.8396163
< 136679711954640 2912060 136686256525440 1780985087.839919
> 136679711954592 2912060 136686256525440 1780985087.8399274
> 126794236516480 2911992 126800800096384 1780985087.919372
< 126794236516480 2911992 126800800096384 1780985087.9194791
< 136679711954592 2912060 136686256525440 1780985087.9216175
> 136679711961552 2912060 136686256525440 1780985087.9216568
> 126794236516480 2911992 126800800096384 1780985088.0055034
< 126794236516480 2911992 126800800096384 1780985088.0056067
> 126794238328368 2911992 126800800096384 1780985088.0058558
> 126794235084624 2911992 126800800096384 1780985088.005875
< 126794235084624 2911992 126800800096384 1780985088.011315
> 126794235084384 2911992 126800800096384 1780985088.011345
< 126794235084384 2911992 126800800096384 1780985088.0118415
> 126794235138352 2911992 126800800096384 1780985088.0118608
< 126794235138352 2911992 126800800096384 1780985088.1463506
< 126794238328368 2911992 126800800096384 1780985088.1464207
> 126794255490784 2911992 126800800096384 1780985088.1464453
< 126794255490784 2911992 126800800096384 1780985088.227454
